"Transaction Date","Transaction ID","Transaction Status","Transaction Type","From","To","Plant Community Type","Sub Region","Offset Trading Group","Vegetation Formation","Scientific Name","Common Name","Number Of Credits","Price Per Credit (Ex-GST)","Philanthropic Reason For Transfer Disclosed","Retirement Reason","Other Reason for Retiring","Reference Number of Obligation","Address of Obligation","Local Government Area of Obligation","Date of Consent Approval"
"2019-11-27","00018450","Completed","Transfer","CR-1319","CR-2208","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely's Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","424","4150","No","","","","","",""
"2020-04-14","00019921","Completed","Transfer","CR-1319","CR-3154","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely's Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","499","4150","No","","","","","",""
"2020-04-22","00020025","Completed","Transfer","CR-1403","CR-3198","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","528","4150","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2612","CR-4689","","Clarence Sandstones","","","Phascogale tapoatafa","Brush-tailed Phascogale","101","330","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2611","CR-4688","","Clarence Sandstones","","","Petaurus norfolcensis","Squirrel Glider","101","330","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2610","CR-4687","","Clarence Sandstones","","","Aepyprymnus rufescens","Rufous Bettong","101","330","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2613","CR-4690","","Clarence Sandstones","","","Dromaius novaehollandiae - endangered population","Emu population in the New South Wales North Coast Bioregion and Port Stephens local government area","448","2009","No","","","","","",""
"2020-10-07","00022191","Completed","Transfer","CR-2107","CR-4793","","Upper Hunter","","","Phascolarctos cinereus","Koala","98","250","No","","","","","",""
"2020-10-12","00022277","Completed","Retire","CR-4793","CR-4807","","Upper Hunter","","","Phascolarctos cinereus","Koala","98","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","10.2014.00000319.001","","",""
"2020-11-17","00022848","Completed","Retire","CR-2312","CR-5123","Narrow-leaved Ironbark - Broad-leaved Ironbark - Grey Gum open forest of the edges of the Cumberland Plain, Sydney Basin Bioregion","Yengo","Shale Sandstone Transition Forest in the Sydney Basin Bioregion","Grassy Woodlands","","","10","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA951/2018/ZA","","Hills Shire Council",""
"2020-11-18","00022955","Completed","Transfer","CR-2109","CR-5159","","Upper Hunter","","","Phascogale tapoatafa","Brush-tailed Phascogale","90","349","No","","","","","",""
"2020-12-07","00023243","Completed","Transfer","CR-2610","CR-5559","","Clarence Sandstones","","","Aepyprymnus rufescens","Rufous Bettong","373","400","No","","","","","",""
"2020-12-07","00023243","Completed","Transfer","CR-2611","CR-5560","","Clarence Sandstones","","","Petaurus norfolcensis","Squirrel Glider","72","200","No","","","","","",""
"2020-12-22","00023479","Completed","Retire","CR-5559","CR-5773","","Clarence Sandstones","","","Aepyprymnus rufescens","Rufous Bettong","373","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","For the purpose of acquitting offset obligations held by the Biodiversity Conservation Trust of NSW","","","",""
"2020-12-22","00023479","Completed","Retire","CR-5560","CR-5774","","Clarence Sandstones","","","Petaurus norfolcensis","Squirrel Glider","72","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","For the purpose of acquitting offset obligations held by the Biodiversity Conservation Trust of NSW","","","",""
"2021-01-29","00023813","Completed","Transfer","CR-5474","CR-5969","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","12","17000","No","","","","","",""
"2021-02-04","00023954","Completed","Retire","CR-5969","CR-6059","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","12","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","93/2020/HC","","The Hills Shire",""
"2021-02-22","00024176","Completed","Retire","CR-5159","CR-6200","","Upper Hunter","","","Phascogale tapoatafa","Brush-tailed Phascogale","90","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA20-507","","Maitland Council",""
"2021-03-12","00024513","Completed","Transfer","CR-5472","CR-6392","Yellow Bloodwood - ironbark shrubby woodland of the dry hinterland of the Central Coast, Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","30","11500","No","","","","","",""
"2021-03-12","00024513","Completed","Transfer","CR-5474","CR-6393","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","207","9050","No","","","","","",""
"2021-03-31","00024726","Completed","Transfer","CR-5472","CR-6704","Yellow Bloodwood - ironbark shrubby woodland of the dry hinterland of the Central Coast, Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","46","7878.97","No","","","","","",""
"2021-03-31","00024726","Completed","Transfer","CR-5474","CR-6705","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","1","21359.71","No","","","","","",""
"2021-04-27","00025305","Completed","Transfer","CR-2107","CR-6984","","Upper Hunter","","","Phascolarctos cinereus","Koala","156","275","No","","","","","",""
"2021-04-27","00025309","Completed","Transfer","CR-1403","CR-6985","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","9","7000","No","","","","","",""
"2021-04-27","00025309","Completed","Transfer","CR-1404","CR-6986","White Box - Blakely's Red Gum - Long-leaved Box - Nortons Box - Red Stringybark grass-shrub woodland on shallow soils on hills in the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","7","7000","No","","","","","",""
"2021-05-10","00025504","Completed","Transfer","CR-5473","CR-7224","Yellow Bloodwood - Narrow-leaved Apple heathy woodland on hinterland plateaux of the Central Coast, Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","32","6500","No","","","","","",""
"2021-05-17","00025691","Completed","Transfer","CR-6304","CR-7324","White Box grass shrub hill woodland on clay to loam soils on volcanic and sedimentary hills in the southern Brigalow Belt South Bioregion","Pilliga","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","48","4250","No","","","","","",""
"2021-05-18","00025717","Completed","Retire","CR-4301","CR-7347","Smooth-barked Apple - Red Bloodwood - Scribbly Gum grass - shrub woodland on lowlands of the Central Coast","Wyong","Sydney Coastal Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","158","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/1001/2019","","",""
"2021-05-18","00025717","Completed","Retire","CR-4302","CR-7348","Red Ironbark - Spotted Gum - Prickly-leaved Paperbark shrubby open forest of the Lower Hunter","Wyong","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","41","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/1001/2019","","",""
"2021-05-18","00025717","Completed","Retire","CR-4303","CR-7349","Spotted Gum - Red Ironbark - Grey Gum shrub - grass open forest of the Lower Hunter","Wyong","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","270","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA/1001/2019","","",""
"2021-05-20","00025766","Completed","Transfer","CR-1403","CR-7364","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","4","6700","No","","","","","",""
"2021-05-25","00025831","Completed","Retire","CR-7324","CR-7398","White Box grass shrub hill woodland on clay to loam soils on volcanic and sedimentary hills in the southern Brigalow Belt South Bioregion","Pilliga","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Riverina Bioregions","Grassy Woodlands","","","48","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD8696","","",""
"2021-05-28","00025909","Completed","Transfer","CR-4398","CR-7501","Weeping Myall open woodland of the Darling Riverine Plains Bioregion and Brigalow Belt South Bioregion","Northern Outwash","Myall Woodland in the Darling Riverine Plains, Brigalow Belt South, Cobar Peneplain, Murray-Darling Depression, Riverina and NSW South Western Slopes bioregions","Semi-arid Woodlands (Grassy sub-formation)","","","203","1507.57","No","","","","","",""
"2021-05-28","00025909","Completed","Transfer","CR-4399","CR-7502","Brigalow - Belah open forest / woodland on alluvial often gilgaied clay from Pilliga Scrub to Goondiwindi, Brigalow Belt South Bioregion","Northern Outwash","Brigalow within the Brigalow Belt South, Nandewar and Darling Riverine Plains Bioregions","Semi-arid Woodlands (Grassy sub-formation)","","","59","1507.57","No","","","","","",""
"2021-05-28","00025909","Completed","Transfer","CR-4400","CR-7503","Coolabah open woodland wetland with chenopod/grassy ground cover on grey and brown clay floodplains","Northern Outwash","Coolibah-Black Box Woodland in the Darling Riverine Plains, Brigalow Belt South, Cobar Peneplain and Mulga Lands Bioregions","Semi-arid Woodlands (Grassy sub-formation)","","","411","1507.57","No","","","","","",""
"2021-05-28","00025909","Completed","Transfer","CR-4401","CR-7504","Belah woodland on alluvial plains and low rises in the central NSW wheatbelt to Pilliga and Liverpool Plains regions.","Northern Outwash","North-west Floodplain Woodlands >=70% and <90%","Semi-arid Woodlands (Grassy sub-formation)","","","23","1507.57","No","","","","","",""
"2021-05-28","00025909","Completed","Transfer","CR-4402","CR-7505","Poplar Box - Belah woodland on clay-loam soils on alluvial plains of north-central NSW","Northern Outwash","Floodplain Transition Woodlands >=70% and <90%","Grassy Woodlands","","","503","1507.57","No","","","","","",""
"2021-05-28","00025909","Completed","Transfer","CR-4403","CR-7506","","Northern Outwash","","","Phascolarctos cinereus","Koala","869","1507.57","No","","","","","",""
"2021-06-08","00026092","Completed","Retire","CR-7224","CR-7706","Yellow Bloodwood - Narrow-leaved Apple heathy woodland on hinterland plateaux of the Central Coast, Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","32","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","1517/2019/LD","","",""
"2021-07-07","00026497","Completed","Transfer","CR-1405","CR-8074","","Inland Slopes","","","Petaurus norfolcensis","Squirrel Glider","74","597.71","No","","","","","",""
"2021-07-07","00026515","Completed","Transfer","CR-2104","CR-8075","Spotted Gum - Narrow-leaved Ironbark shrub - grass open forest of the central and lower Hunter","Upper Hunter","Hunter-Macleay Dry Sclerophyll Forests - = 50% - < 70% cleared group","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","1","2924.89","No","","","","","",""
"2021-07-07","00026515","Completed","Transfer","CR-2105","CR-8076","White Mahogany - Spotted Gum - Grey Myrtle semi-mesic shrubby open forest of the central and lower Hunter Valley","Upper Hunter","Northern Hinterland Wet Sclerophyll Forests - < 50% cleared group","Wet Sclerophyll Forests (Grassy sub-formation)","","","7","2471.88","No","","","","","",""
"2021-07-07","00026515","Completed","Transfer","CR-2107","CR-8077","","Upper Hunter","","","Phascolarctos cinereus","Koala","5","597.71","No","","","","","",""
"2021-07-13","00026619","Completed","Transfer","CR-1403","CR-8167","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","42","6000","No","","","","","",""
"2021-07-13","00026620","Completed","Transfer","CR-1339","CR-8168","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","236","6000","No","","","","","",""
"2021-07-28","00026902","Completed","Transfer","CR-4304","CR-8424","White Mahogany - Spotted Gum - Grey Myrtle semi-mesic shrubby open forest of the central and lower Hunter Valley","Wyong","Northern Hinterland Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Grassy sub-formation)","","","3","2471.88","No","","","","","",""
"2021-07-28","00026902","Completed","Transfer","CR-4305","CR-8425","Blackbutt - Turpentine - Sydney Blue Gum mesic tall open forest on ranges of the Central Coast","Wyong","North Coast Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Shrubby sub-formation)","","","6","4897.33","No","","","","","",""
"2021-07-28","00026902","Completed","Transfer","CR-4307","CR-8426","","Wyong","","","Grevillea parviflora subsp. parviflora","Small-flower Grevillea","3","207.24","No","","","","","",""
"2021-08-05","00027083","Completed","Transfer","CR-5777","CR-8512","Cabbage Gum-Rough-barked Apple grassy woodland on alluvial floodplains of the lower Hunter","Karuah Manning","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Forested Wetlands","","","1","13049.14","No","","","","","",""
"2021-08-05","00027083","Completed","Transfer","CR-5780","CR-8513","","Karuah Manning","","","Callistemon linearifolius","Netted Bottle Brush","12","187.24","No","","","","","",""
"2021-08-06","00027107","Completed","Transfer","CR-5809","CR-8525","Grey Gum - Grey Ironbark open forest of the Clarence lowlands of the NSW North Coast Bioregion","Clarence Sandstones","Clarence Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","176","2400","No","","","","","",""
"2021-08-06","00027107","Completed","Transfer","CR-5810","CR-8526","Spotted Gum - Grey Ironbark - Pink Bloodwood open forest of the Clarence Valley lowlands of the NSW North Coast Bioregion","Clarence Sandstones","Clarence Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","10","3200","No","","","","","",""
"2021-08-06","00027107","Completed","Transfer","CR-5814","CR-8527","","Clarence Sandstones","","","Planigale maculata","Common Planigale","405","750","No","","","","","",""
"2021-08-06","00027112","Completed","Retire","CR-8167","CR-8528","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","42","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD 8183","","",""
"2021-08-06","00027113","Completed","Retire","CR-8168","CR-8529","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","236","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD 8183","","",""
"2021-08-20","00027356","Completed","Retire","CR-6392","CR-8610","Yellow Bloodwood - ironbark shrubby woodland of the dry hinterland of the Central Coast, Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","30","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT by developer payments into the Biodiversity Conservation Fund","","","",""
"2021-08-20","00027356","Completed","Retire","CR-6393","CR-8611","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","207","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT by developer payments into the Biodiversity Conservation Fund","","","",""
"2021-08-20","00027356","Completed","Retire","CR-6704","CR-8612","Yellow Bloodwood - ironbark shrubby woodland of the dry hinterland of the Central Coast, Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","46","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT by developer payments into the Biodiversity Conservation Fund","","","",""
"2021-08-20","00027356","Completed","Retire","CR-6705","CR-8613","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","1","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT by developer payments into the Biodiversity Conservation Fund","","","",""
"2021-09-07","00027886","Completed","Transfer","CR-5554","CR-8781","","Cumberland","","","Myotis macropus","Southern Myotis","458","1600","No","","","","","",""
"2021-09-13","00028044","Completed","Transfer","CR-5474","CR-8877","Blackbutt - Pink Bloodwood shrubby open forest of the coastal lowlands of the NSW North Coast Bioregion","Wollemi","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Wet Sclerophyll Forests (Shrubby sub-formation)","","","4","21359.71","No","","","","","",""
"2021-09-13","00028051","Completed","Transfer","CR-6303","CR-8896","Black Cypress Pine - Narrow-leaved Ironbark - red gum +/- White Bloodwood shrubby open forest on hills of the southern Pilliga, Coonabarabran and Garawilla regions, Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","29","2553.07","No","","","","","",""
"2021-09-13","00028052","Completed","Transfer","CR-6420","CR-8897","Rough-barked Apple - red gum grassy woodland of the MacDonald River Valley on the Central Coast, Sydney Basin Bioregion","Yengo","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Forested Wetlands","","","211","18500","No","","","","","",""
"2021-09-14","00028085","Completed","Transfer","CR-7617","CR-8906","Western Grey Box tall grassy woodland on alluvial loam and clay soils in the NSW South Western Slopes and Riverina Bioregions","Lower Slopes","Inland Grey Box Woodland in the Riverina, NSW South Western Slopes, Cobar Peneplain, Nandewar and Brigalow Belt South Bioregions","Grassy Woodlands","","","101","3363.02","No","","","","","",""
"2021-09-14","00028085","Completed","Transfer","CR-7614","CR-8903","River Red Gum - wallaby grass tall woodland wetland on the outer River Red Gum zone mainly in the Riverina Bioregion","Lower Slopes","Inland Riverine Forests >=50% and <70%","Forested Wetlands","","","494","3363.02","No","","","","","",""
"2021-09-14","00028085","Completed","Transfer","CR-7615","CR-8904","Weeping Myall open woodland of the Riverina Bioregion and NSW South Western Slopes Bioregion","Lower Slopes","Myall Woodland in the Darling Riverine Plains, Brigalow Belt South, Cobar Peneplain, Murray-Darling Depression, Riverina and NSW South Western Slopes bioregions","Semi-arid Woodlands (Grassy sub-formation)","","","4","3363.02","No","","","","","",""
"2021-09-14","00028085","Completed","Transfer","CR-7616","CR-8905","White Cypress Pine woodland on sandy loams in central NSW wheatbelt","Lower Slopes","Floodplain Transition Woodlands >=50% and <70%","Grassy Woodlands","","","80","3363.02","No","","","","","",""
"2021-09-14","00028085","Completed","Transfer","CR-7618","CR-8907","Western Grey Box - Cypress Pine shrubby woodland on stony footslopes in the NSW South Western Slopes Bioregion and Riverina Bioregion","Lower Slopes","Inland Grey Box Woodland in the Riverina, NSW South Western Slopes, Cobar Peneplain, Nandewar and Brigalow Belt South Bioregions","Dry Sclerophyll Forests (Shrubby sub-formation)","","","429","3363.02","No","","","","","",""
"2021-09-14","00028085","Completed","Transfer","CR-7619","CR-8908","Riverine Western Grey Box grassy woodland of the semi-arid (warm) climate zone","Lower Slopes","Inland Grey Box Woodland in the Riverina, NSW South Western Slopes, Cobar Peneplain, Nandewar and Brigalow Belt South Bioregions","Grassy Woodlands","","","30","3363.02","No","","","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8074","CR-9392","","Inland Slopes","","","Petaurus norfolcensis","Squirrel Glider","74","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8075","CR-9393","Spotted Gum - Narrow-leaved Ironbark shrub - grass open forest of the central and lower Hunter","Upper Hunter","Hunter-Macleay Dry Sclerophyll Forests - = 50% - < 70% cleared group","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","1","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8076","CR-9394","White Mahogany - Spotted Gum - Grey Myrtle semi-mesic shrubby open forest of the central and lower Hunter Valley","Upper Hunter","Northern Hinterland Wet Sclerophyll Forests - < 50% cleared group","Wet Sclerophyll Forests (Grassy sub-formation)","","","7","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8077","CR-9395","","Upper Hunter","","","Phascolarctos cinereus","Koala","5","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8424","CR-9396","White Mahogany - Spotted Gum - Grey Myrtle semi-mesic shrubby open forest of the central and lower Hunter Valley","Wyong","Northern Hinterland Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Grassy sub-formation)","","","3","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8425","CR-9397","Blackbutt - Turpentine - Sydney Blue Gum mesic tall open forest on ranges of the Central Coast","Wyong","North Coast Wet Sclerophyll Forests <50%","Wet Sclerophyll Forests (Shrubby sub-formation)","","","6","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8426","CR-9398","","Wyong","","","Grevillea parviflora subsp. parviflora","Small-flower Grevillea","3","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8512","CR-9399","Cabbage Gum-Rough-barked Apple grassy woodland on alluvial floodplains of the lower Hunter","Karuah Manning","River-Flat Eucalypt Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Forested Wetlands","","","1","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8513","CR-9400","","Karuah Manning","","","Callistemon linearifolius","Netted Bottle Brush","12","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8525","CR-9401","Grey Gum - Grey Ironbark open forest of the Clarence lowlands of the NSW North Coast Bioregion","Clarence Sandstones","Clarence Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","176","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8526","CR-9402","Spotted Gum - Grey Ironbark - Pink Bloodwood open forest of the Clarence Valley lowlands of the NSW North Coast Bioregion","Clarence Sandstones","Clarence Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","10","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-09-30","00028464","Completed","Retire","CR-8527","CR-9403","","Clarence Sandstones","","","Planigale maculata","Common Planigale","405","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","To acquit offset obligations held by the BCT","","","",""
"2021-10-13","00028710","Completed","Retire","CR-6984","CR-9689","","Upper Hunter","","","Phascolarctos cinereus","Koala","156","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD6697","","",""
"2021-10-13","00028710","Completed","Retire","CR-6985","CR-9690","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","9","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","SSD6697","","",""
