"Transaction Date","Transaction ID","Transaction Status","Transaction Type","From","To","Plant Community Type","Sub Region","Offset Trading Group","Vegetation Formation","Scientific Name","Common Name","Number Of Credits","Price Per Credit (Ex-GST)","Philanthropic Reason For Transfer Disclosed","Retirement Reason","Other Reason for Retiring","Reference Number of Obligation","Address of Obligation","Local Government Area of Obligation","Date of Consent Approval"
"2023-02-17","00038456","Completed","Retire","CR-20131","CR-20578","Cumberland shale plains woodland","Cumberland","Cumberland Plain Woodland in the Sydney Basin Bioregion","Grassy Woodlands","","","52","0","","For the purposes of a planning agreement (purpose under section 7.4 of the Environmental Planning and Assessment Act, 1979","","DA21/0323","44-66 O'Connell Street, Caddens NSW 2747","Penrith City Council","2022-06-24"
"2023-02-17","00038456","Completed","Retire","CR-20130","CR-20579","Cumberland shale hills woodland","Cumberland","Cumberland Plain Woodland in the Sydney Basin Bioregion","Grassy Woodlands","","","15","0","","For the purposes of a planning agreement (purpose under section 7.4 of the Environmental Planning and Assessment Act, 1979","","DA21/0323","44-66 O'Connell Street, Caddens NSW 2747","Penrith City Council","2022-06-24"
"2023-02-22","00038562","Completed","Retire","CR-11742","CR-20667","Coast Grey Box - stringybark dry woodland on slopes of the Shoalhaven Gorges, southern Sydney Basin Bioregion","Bungonia","Central Gorge Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","157","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","MP06_0074-Mod-5 EPBC2018/8243","Peppertree Quarry; 843 Marulan S Rd, Marulan NSW 2579","Goulburn Mulwaree","2019-10-01"
"2023-02-22","00038562","Completed","Retire","CR-11749","CR-20668","","Bungonia","","","Chalinolobus dwyeri","Large-eared Pied Bat","731","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","MP06_0074-Mod-5 EPBC2018/8243","Peppertree Quarry; 843 Marulan S Rd, Marulan NSW 2579","Goulburn Mulwaree","2019-10-01"
"2023-02-22","00038562","Completed","Retire","CR-11750","CR-20669","","Bungonia","","","Phascolarctos cinereus","Koala","487","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","MP06_0074-Mod-5 EPBC2018/8243","Peppertree Quarry; 843 Marulan S Rd, Marulan NSW 2579","Goulburn Mulwaree","2019-10-01"
"2023-02-22","00038566","Completed","Transfer","CR-5908","CR-20670","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Hill End","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","354","5100","No","","","","","",""
"2023-02-24","00038668","Completed","Transfer","CR-6211","CR-20693","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","18","4000","No","","","","","",""
"2023-02-27","00038712","Completed","Transfer","CR-7368","CR-20712","Grey Gum - Rough-barked Apple alluvial flat woodland in the upper Hunter Valley, mainly Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","18","5000","No","","","","","",""
"2023-02-27","00038711","Completed","Transfer","CR-7368","CR-20713","Grey Gum - Rough-barked Apple alluvial flat woodland in the upper Hunter Valley, mainly Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","125","5500","No","","","","","",""
"2023-02-27","00038718","Completed","Transfer","CR-12413","CR-20715","","Clarence Lowlands","","","Myotis macropus","Southern Myotis","305","894","No","","","","","",""
"2023-02-27","00038718","Completed","Transfer","CR-12414","CR-20716","","Clarence Lowlands","","","Petaurus norfolcensis","Squirrel Glider","1316","610","No","","","","","",""
"2023-02-27","00038718","Completed","Transfer","CR-12409","CR-20714","Paperbark swamp forest of the coastal lowlands of the NSW North Coast Bioregion and Sydney Basin Bioregion","Clarence Lowlands","Swamp Sclerophyll Forest on Coastal Floodplains of the New South Wales North Coast, Sydney Basin and South East Corner Bioregions","Forested Wetlands","","","10","3604","No","","","","","",""
"2023-03-02","00038814","Completed","Transfer","CR-5787","CR-20756","White Box grassy woodland of the Nandewar Bioregion and Brigalow Belt South Bioregion","Peel","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","18","7274.94","No","","","","","",""
"2023-03-02","00038813","Completed","Transfer","CR-6421","CR-20759","Grey Myrtle - Grey Gum gully dry rainforest on sandstone ranges of the Sydney Basin","Yengo","Dry Rainforests <50%","Rainforests","","","1","7000","No","","","","","",""
"2023-03-02","00038820","Completed","Transfer","CR-17774","CR-20768","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely?s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highla","Grassy Woodlands","","","610","5900","No","","","","","",""
"2023-03-03","00038834","Completed","Transfer","CR-19073","CR-20781","White Bloodwood - Red Ironbark - Black Cypress Pine shrubby sandstone woodland of the Pilliga Scrub and surrounding regions","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","1149","678.85","No","","","","","",""
"2023-03-03","00038834","Completed","Transfer","CR-19068","CR-20776","White Cypress Pine - Narrow-leaved Ironbark - White Bloodwood - red gum shrub grass woodland of the Pilliga - Coonabarabran region, Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","120","678.85","No","","","","","",""
"2023-03-03","00038834","Completed","Transfer","CR-19069","CR-20777","Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest on lower slopes and flats in the Pilliga Scrub and surrounding forests in the central north Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","3816","678.85","No","","","","","",""
"2023-03-03","00038834","Completed","Transfer","CR-19070","CR-20778","Narrow-leaved Ironbark - White Cypress Pine - Buloke tall open forest on lower slopes and flats in the Pilliga Scrub and surrounding forests in the central north Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","43","678.85","No","","","","","",""
"2023-03-03","00038834","Completed","Transfer","CR-19071","CR-20779","Red gum - Rough-barked Apple +/- tea tree sandy creek woodland (wetland) in the Pilliga - Goonoo sandstone forests, Brigalow Belt South Bioregion","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","475","678.85","No","","","","","",""
"2023-03-03","00038834","Completed","Transfer","CR-19072","CR-20780","Rough-barked Apple - Blakely's Red Gum - Black Cypress Pine woodland on sandy flats, mainly in the Pilliga Scrub region","Pilliga","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","13","678.85","No","","","","","",""
"2023-03-03","00038840","Completed","Transfer","CR-5909","CR-20792","Mugga Ironbark - mixed box woodland on hills in the Cowra - Boorowa - Young region of the NSW South Western Slopes Bioregion","Hill End","Upper Riverina Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","45","8050","No","","","","","",""
"2023-03-03","00038842","Completed","Transfer","CR-7746","CR-20793","Inland Scribbly Gum - Black Cypress Pine - Mugga Ironbark - Daphne Heath low woodland of the Wagga Wagga region in the southern NSW South Western Slopes Bioregion","Capertee Valley","Western Slopes Dry Sclerophyll Forests <50%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","90","2676","No","","","","","",""
"2023-03-03","00038844","Completed","Transfer","CR-7368","CR-20794","Grey Gum - Rough-barked Apple alluvial flat woodland in the upper Hunter Valley, mainly Sydney Basin Bioregion","Wollemi","Sydney Hinterland Dry Sclerophyll Forests >=50% and <70%","Dry Sclerophyll Forests (Shrubby sub-formation)","","","505","3500","No","","","","","",""
"2023-03-07","00038832","Completed","Transfer","CR-12414","CR-20820","","Clarence Lowlands","","","Petaurus norfolcensis","Squirrel Glider","2615","605","No","","","","","",""
"2023-03-08","00038888","Completed","Transfer","CR-1341","CR-20841","","Inland Slopes","","","Petaurus norfolcensis","Squirrel Glider","94","500","No","","","","","",""
"2023-03-08","00038920","Completed","Retire","CR-20693","CR-20842","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","18","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA 8/2022/478/1","342 Bathurst Street, Sawyers Gully, NSW, 2326","Cessnock City Council","2022-12-08"
"2023-03-16","00039115","Completed","Transfer","CR-6211","CR-20988","Spotted Gum - Broad-leaved Mahogany - Red Ironbark shrubby open forest","Karuah Manning","Lower Hunter Spotted Gum Ironbark Forest in the Sydney Basin and NSW North Coast Bioregions","Dry Sclerophyll Forests (Shrub/grass sub-formation)","","","5","5000","No","","","","","",""
"2023-03-17","00039149","Completed","Transfer","CR-18925","CR-20997","","Clarence Lowlands","","","Polygala linariifolia","Native Milkwort","329","1025.31","No","","","","","",""
